flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,kepler_id
57242.12,7.1394706,0,0.0010092403,460.48847950002414,511.1185776491428,568,50116.3,6.560643,1082.5217,0.35039425,57242.12,7.1394706,0,,,,,460.48847950002414,0.00012795352,511.1185776491428,0.0001599856,-0.005250854,-0.006755564,3955867
57204.812,7.3234982,0,0.0010102363,460.4891516986398,511.1196906215414,569,50106.723,6.560193,1082.2554,0.35003313,57204.812,7.3234982,0,,,,,460.4891516986398,0.0001280239,511.1196906215414,0.00016007035,-0.0048621977,-0.006171349,3955867
57153.223,7.344484,0,0.0010112324,460.489538657274,511.119223575098,570,50056.25,6.557847,1082.5804,0.35034618,57153.223,7.344484,0,,,,,460.489538657274,0.00012811158,511.119223575098,0.00016018117,-0.0043217344,-0.0062745167,3955867
57136.438,7.3197365,0,0.0010122284,460.49034483685296,511.1194579247706,571,50039.832,6.5569787,1081.4762,0.35060123,57136.438,7.3197365,0,,,,,460.49034483685296,0.00012814505,511.1194579247706,0.00016022865,-0.0037203683,-0.006322593,3955867
57105.33,7.36034,0,0.0010132244,460.49116898347165,511.1193749460738,572,50000.516,6.5552754,1083.0549,0.3502054,57105.33,7.36034,0,,,,,460.49116898347165,0.00012823584,511.1193749460738,0.00016036392,-0.00307463,-0.006095969,3955867
57078.61,7.3253336,0,0.0010142203,460.49139953237375,511.11903624248816,573,49975.645,6.5539618,1081.3612,0.34995773,57078.61,7.3253336,0,,,,,460.49139953237375,0.00012827582,511.11903624248816,0.00016039934,-0.0027384623,-0.0065624374,3955867
57060.625,7.338179,0,0.0010152162,460.4920436423711,511.1197606996666,574,49950.53,6.551551,1081.2301,0.3503195,57060.625,7.338179,0,,,,,460.4920436423711,0.00012832948,511.1197606996666,0.00016046336,-0.0024435287,-0.006061586,3955867
57021.387,7.346212,0,0.0010162122,460.4920247330551,511.11950662572076,575,49908.418,6.5507026,1079.66,0.35027772,57021.387,7.346212,0,,,,,460.4920247330551,0.00012842868,511.11950662572076,0.00016060295,-0.002385319,-0.0061687566,3955867
57017.926,7.3628716,0,0.001017208,460.4920906944966,511.11940143982395,576,49904.098,6.5493093,1082.613,0.3498525,57017.926,7.3628716,0,,,,,460.4920906944966,0.0001284267,511.11940143982395,0.00016059777,-0.0023298613,-0.0059633325,3955867
56993.766,7.374255,0,0.0010182038,460.4920823840374,511.11929064849437,577,49880.61,6.5481353,1080.8043,0.34999034,56993.766,7.374255,0,,,,,460.4920823840374,0.00012847998,511.11929064849437,0.0001606633,-0.0020917568,-0.006180554,3955867
56968.062,7.389491,0,0.0010191996,460.4922868225698,511.1198354618725,578,49856.766,6.547138,1081.2443,0.34990895,56968.062,7.389491,0,,,,,460.4922868225698,0.00012851959,511.1198354618725,0.00016073951,-0.0020301973,-0.0055468935,3955867
56923.65,7.3729253,0,0.0010201953,460.4921526415743,511.119839096193,579,49819.543,6.5452986,1082.5294,0.34979966,56923.65,7.3729253,0,,,,,460.4921526415743,0.00012862137,511.119839096193,0.000160857,-0.0021546355,-0.0058527556,3955867
56901.766,7.3926983,0,0.0010211911,460.49206566958185,511.1198306402,580,49796.26,6.5442824,1081.5479,0.35069412,56901.766,7.3926983,0,,,,,460.49206566958185,0.00012864402,511.1198306402,0.00016091276,-0.0021607964,-0.005352936,3955867
56887.035,7.3954487,0,0.0010221868,460.4922012796662,511.1200489805285,581,49784.41,6.5436006,1081.6267,0.3499228,56887.035,7.3954487,0,,,,,460.4922012796662,0.00012868042,511.1200489805285,0.00016095908,-0.0021007434,-0.0052777114,3955867
56895.18,7.3965197,0,0.0010231824,460.4923630595699,511.1197647739564,582,49791.473,6.543924,1081.5211,0.34976563,56895.18,7.3965197,0,,,,,460.4923630595699,0.00012867566,511.1197647739564,0.00016091553,-0.0021236404,-0.0055601317,3955867
56861.297,7.3834467,8192,0.001024178,460.49212926668764,511.12004446138417,583,49758.258,6.5423408,1080.3452,0.35002625,56861.297,7.3834467,8192,,,,,460.49212926668764,0.00012874287,511.12004446138417,0.00016102975,-0.0022742755,-0.00512716,3955867
56869.87,7.397484,0,0.0010251736,460.49186583097134,511.11987803629586,584,49770.64,6.543034,1082.5232,0.35005856,56869.87,7.397484,0,,,,,460.49186583097134,0.00012871865,511.11987803629586,0.00016098339,-0.0022600177,-0.0052619358,3955867
56831.69,7.383014,0,0.0010261692,460.4924682088572,511.1199421488227,585,49731.953,6.5410686,1081.6947,0.34988883,56831.69,7.383014,0,,,,,460.4924682088572,0.00012879375,511.1199421488227,0.00016110891,-0.0018309744,-0.005161131,3955867
56837.125,7.3997617,0,0.0010271647,460.49233576875747,511.12015683472384,586,49739.707,6.5420017,1087.713,0.3503199,56837.125,7.3997617,0,,,,,460.49233576875747,0.00012881485,511.12015683472384,0.00016113294,-0.0018229039,-0.0050648674,3955867
56794.727,7.38505,0,0.0010281602,460.4932226266015,511.1200639081179,587,49703.062,6.5397954,1081.0787,0.34977376,56794.727,7.38505,0,,,,,460.4932226266015,0.00012887135,511.1200639081179,0.0001612041,-0.0014254624,-0.0052634683,3955867
56804.89,7.3931475,0,0.0010291557,460.49269419903425,511.12019052100015,588,49708.832,6.540142,1082.1372,0.3497539,56804.89,7.3931475,0,,,,,460.49269419903425,0.00012886088,511.12019052100015,0.00016118625,-0.0015813139,-0.004953765,3955867
56769.59,7.4001126,0,0.001030151,460.4924924726493,511.12045155988653,589,49679.777,6.5384912,1082.0688,0.35017893,56769.59,7.4001126,0,,,,,460.4924924726493,0.0001289029,511.12045155988653,0.00016124542,-0.001571518,-0.004636348,3955867
56750.992,7.4024425,0,0.0010311464,460.49273705862555,511.120984535807,590,49664.98,6.5380387,1082.3337,0.35009372,56750.992,7.4024425,0,,,,,460.49273705862555,0.00012895944,511.120984535807,0.000161313,-0.0015891206,-0.004318073,3955867
56714.387,7.382402,0,0.0010321417,460.4928865446402,511.12106709901127,591,49628.887,6.536218,1081.7987,0.3499667,56714.387,7.382402,0,,,,,460.4928865446402,0.0001290213,511.12106709901127,0.00016139552,-0.0012531285,-0.004061001,3955867
56688.066,7.398482,0,0.0010331371,460.4932363957322,511.1205495414813,592,49609.676,6.535424,1082.0833,0.35014933,56688.066,7.398482,0,,,,,460.4932363957322,0.00012907566,511.1205495414813,0.00016145613,-0.0010645854,-0.004635128,3955867
56668.496,7.3720446,0,0.0010341323,460.4937165267181,511.12122795902826,593,49588.29,6.534261,1080.5308,0.3500416,56668.496,7.3720446,0,,,,,460.4937165267181,0.000129104,511.12122795902826,0.00016151555,-0.0006084519,-0.0039631994,3955867
56639.4,7.403842,0,0.0010351276,460.4935030972539,511.12068576136573,594,49566.406,6.5333004,1082.0739,0.35000482,56639.4,7.403842,0,,,,,460.4935030972539,0.00012916885,511.12068576136573,0.00016157138,-0.00091092946,-0.004607288,3955867
56653.46,7.393789,0,0.0010361228,460.49342842932276,511.1210387401427,595,49577.375,6.533711,1082.7684,0.35020602,56653.46,7.393789,0,,,,,460.49342842932276,0.00012915472,511.1210387401427,0.0001615637,-0.0008363613,-0.0044564996,3955867
56617.633,7.396047,0,0.0010371179,460.4938666329574,511.1207759400472,596,49545.36,6.53229,1081.8567,0.34993482,56617.633,7.396047,0,,,,,460.4938666329574,0.00012921836,511.1207759400472,0.00016164387,-0.0006693044,-0.0043829638,3955867
56581.4,7.378419,0,0.0010381131,460.49357421000764,511.12079463129135,597,49513.137,6.5307584,1081.7788,0.35017562,56581.4,7.378419,0,,,,,460.49357421000764,0.00012929594,511.12079463129135,0.00016173463,-0.0005967373,-0.0042902497,3955867
56557.645,7.392921,0,0.0010391081,460.4933020994779,511.1206341914358,598,49495.043,6.529871,1082.3062,0.35003603,56557.645,7.392921,0,,,,,460.4933020994779,0.00012933125,511.1206341914358,0.00016178365,-0.0009631221,-0.004730569,3955867
56502.914,7.376938,0,0.0010401033,460.4931143324978,511.1209416188144,599,49444.28,6.527294,1080.6686,0.35006878,56502.914,7.376938,0,,,,,460.4931143324978,0.00012943703,511.1209416188144,0.00016192814,-0.0010708235,-0.0041302824,3955867
56461.734,7.3985095,0,0.0010410983,460.4927333072935,511.1204432878079,600,49412.562,6.525834,1080.2009,0.3500217,56461.734,7.3985095,0,,,,,460.4927333072935,0.0001295466,511.1204432878079,0.00016199003,-0.0013335234,-0.004634949,3955867
56432.58,7.401716,0,0.0010420933,460.49236339559303,511.1206981677868,601,49384.44,6.5245113,1079.9855,0.35002705,56432.58,7.401716,0,,,,,460.49236339559303,0.00012956504,511.1206981677868,0.00016207261,-0.0018097038,-0.004536771,3955867
56417.33,7.409541,0,0.0010430883,460.4922356873757,511.1199551889471,602,49373.184,6.523943,1080.987,0.35006306,56417.33,7.409541,0,,,,,460.4922356873757,0.000129598,511.1199551889471,0.00016211042,-0.0020752475,-0.004895148,3955867
56373.816,7.4053836,8192,0.0010440832,460.49207373970637,511.1203188776185,603,49335.496,6.5221634,1080.6581,0.34979165,56373.816,7.4053836,8192,,,,,460.49207373970637,0.00012970383,511.1203188776185,0.0001622235,-0.0022132227,-0.0050073974,3955867
56377.883,7.4111085,0,0.001045078,460.491714575506,511.1203506437273,604,49339.74,6.5222907,1079.9132,0.34962896,56377.883,7.4111085,0,,,,,460.491714575506,0.00012968385,511.1203506437273,0.00016222397,-0.0024551006,-0.0049881814,3955867
56333.3,7.4079733,0,0.0010460728,460.4915768319045,511.1208584851264,605,49300.004,6.520451,1080.6113,0.3500367,56333.3,7.4079733,0,,,,,460.4915768319045,0.00012977362,511.1208584851264,0.00016233667,-0.002476564,-0.004664406,3955867
56284.855,7.423618,0,0.0010470677,460.49155925760573,511.120206185004,606,49260.598,6.5185246,1080.247,0.3499475,56284.855,7.423618,0,,,,,460.49155925760573,0.00012986606,511.120206185004,0.00016242173,-0.0026622855,-0.0051845866,3955867
56267.336,7.4041595,0,0.0010480625,460.4920250780955,511.12051501605606,607,49241.906,6.517603,1079.2739,0.35008815,56267.336,7.4041595,0,,,,,460.4920250780955,0.00012990575,511.12051501605606,0.00016248845,-0.0023431778,-0.0047923326,3955867
56241.17,7.4289236,0,0.0010490572,460.49146301552713,511.12013078421705,608,49224.664,6.516679,1080.7667,0.35005495,56241.17,7.4289236,0,,,,,460.49146301552713,0.00012993504,511.12013078421705,0.00016250499,-0.0026125994,-0.0053263553,3955867
56234.016,7.413368,0,0.0010500519,460.4916416722524,511.1201960811843,609,49214.652,6.5162663,1080.7565,0.34994182,56234.016,7.413368,0,,,,,460.4916416722524,0.00012996704,511.1201960811843,0.0001625806,-0.0025081295,-0.004775813,3955867
56187.582,7.4203787,0,0.0010510465,460.49142048776895,511.1202318586536,610,49175.906,6.514375,1079.2914,0.34995198,56187.582,7.4203787,0,,,,,460.49142048776895,0.00013005563,511.1202318586536,0.0001626778,-0.0026990701,-0.0049237963,3955867
56173.74,7.4199233,0,0.0010520412,460.49115213938984,511.1198565815897,611,49164.754,6.513859,1079.1576,0.350026,56173.74,7.4199233,0,,,,,460.49115213938984,0.00013008284,511.1198565815897,0.00016269175,-0.0027556496,-0.0053272485,3955867
56150.805,7.40812,0,0.0010530357,460.4915372691434,511.1202122033717,612,49143.043,6.5128555,1080.5867,0.34964174,56150.805,7.40812,0,,,,,460.4915372691434,0.00013014153,511.1202122033717,0.00016277007,-0.002458422,-0.0051164594,3955867
56137.66,7.4167347,0,0.0010540303,460.4914355221223,511.11976058083496,613,49131.88,6.512195,1078.4908,0.34985003,56137.66,7.4167347,0,,,,,460.4914355221223,0.00013014182,511.11976058083496,0.00016278488,-0.0026242237,-0.0054055527,3955867
56105.914,7.415821,0,0.0010550248,460.4915955320202,511.119873158922,614,49107.188,6.5110173,1079.7246,0.34976688,56105.914,7.415821,0,,,,,460.4915955320202,0.00013022902,511.119873158922,0.00016284816,-0.0027707883,-0.0055318982,3955867
56090.156,7.4031672,0,0.0010560193,460.4915008012392,511.11984499292043,615,49089.965,6.5102105,1079.2708,0.35006595,56090.156,7.4031672,0,,,,,460.4915008012392,0.00013024962,511.11984499292043,0.00016289068,-0.0026348378,-0.0052734897,3955867
56037.527,7.4129715,0,0.0010570138,460.4910461599726,511.11964266203154,616,49048.805,6.508274,1079.6079,0.34978765,56037.527,7.4129715,0,,,,,460.4910461599726,0.0001303573,511.11964266203154,0.0001630175,-0.0030262067,-0.0057319584,3955867
56016.25,7.4074306,0,0.0010580082,460.4912346141424,511.1200809575312,617,49026.668,6.507207,1078.489,0.3501711,56016.25,7.4074306,0,,,,,460.4912346141424,0.00013038574,511.1200809575312,0.00016307873,-0.00286888,-0.005265383,3955867
56000.06,7.3916545,0,0.0010590025,460.4911356544096,511.1197819925726,618,49013.504,6.5065584,1080.1252,0.34993857,56000.06,7.3916545,0,,,,,460.4911356544096,0.00013042343,511.1197819925726,0.00016313564,-0.0028956544,-0.005351205,3955867
55982.18,7.3959794,0,0.0010599968,460.4908780879104,511.1194344601636,619,49001.93,6.506325,1085.4254,0.3502538,55982.18,7.3959794,0,,,,,460.4908780879104,0.00013045539,511.1194344601636,0.00016317413,-0.003123297,-0.0056779296,3955867
55955.68,7.3963995,0,0.0010609911,460.49134033536734,511.11984262201804,620,48974.527,6.5046973,1080.1084,0.34976205,55955.68,7.3963995,0,,,,,460.49134033536734,0.00013051667,511.11984262201804,0.00016324384,-0.0027320806,-0.005371806,3955867
55925.344,7.3848405,0,0.0010619854,460.4908745188087,511.120016324077,621,48951.13,6.5034947,1078.9219,0.3501704,55925.344,7.3848405,0,,,,,460.4908745188087,0.00013055187,511.120016324077,0.00016326699,-0.0032803197,-0.0056212866,3955867
