flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,kepler_id
22624.21,5.584985,0,0.0016307798,922.0729737883842,865.0192194378378,1105,19411.354,4.7683854,1188.084,0.4197318,22624.21,5.584985,0,,,,,922.0729737883842,0.00033511035,865.0192194378378,0.00034490123,0.035321508,-0.05621427,3115480
22798.314,5.597802,0,0.0016317539,922.0722378421934,865.0196244377046,1106,19559.262,4.77796,1187.0164,0.4196644,22798.314,5.597802,0,,,,,922.0722378421934,0.00033264502,865.0196244377046,0.00034247985,0.035037834,-0.05582452,3115480
23026.312,5.611819,0,0.0016327278,922.0726975016898,865.019537082136,1107,19752.98,4.792108,1187.8818,0.41982326,23026.312,5.611819,0,,,,,922.0726975016898,0.00032968508,865.019537082136,0.00033947206,0.034910213,-0.05562147,3115480
23189.63,5.627106,0,0.0016337016,922.0724424315224,865.0194989877826,1108,19893.545,4.804034,1185.6449,0.42009354,23189.63,5.627106,0,,,,,922.0724424315224,0.0003273897,865.0194989877826,0.00033725786,0.034910344,-0.055827793,3115480
23186.37,5.626765,0,0.0016346753,922.0718526252681,865.019295333015,1109,19887.22,4.803701,1187.6924,0.41968635,23186.37,5.626765,0,,,,,922.0718526252681,0.00032776973,865.019295333015,0.00033768336,0.034522355,-0.05584486,3115480
23180.383,5.6252713,0,0.0016356489,922.0724150268542,865.0192295073133,1110,19883.418,4.8035817,1188.9906,0.41988054,23180.383,5.6252713,0,,,,,922.0724150268542,0.00032756128,865.0192295073133,0.00033745245,0.034755003,-0.05587946,3115480
23196.59,5.627766,0,0.0016366224,922.0721813308429,865.0192585250497,1111,19897.15,4.804243,1187.7057,0.41980007,23196.59,5.627766,0,,,,,922.0721813308429,0.00032742906,865.0192585250497,0.00033731613,0.034813575,-0.055902656,3115480
23181.588,5.6252594,0,0.0016375958,922.071988693989,865.0191258718328,1112,19882.797,4.8032756,1187.0787,0.4197523,23181.588,5.6252594,0,,,,,922.071988693989,0.00032757752,865.0191258718328,0.00033738054,0.034812752,-0.05582529,3115480
23187.861,5.628375,0,0.0016385692,922.0721173687754,865.0194850279221,1113,19887.72,4.803745,1188.2601,0.4198078,23187.861,5.628375,0,,,,,922.0721173687754,0.0003275712,865.0194850279221,0.00033748386,0.03460852,-0.05573835,3115480
23182.762,5.6271806,0,0.0016395423,922.0722947657865,865.0195177645758,1114,19883.547,4.803328,1186.3447,0.41992012,23182.762,5.6271806,0,,,,,922.0722947657865,0.0003276945,865.0195177645758,0.00033759078,0.03469078,-0.055913195,3115480
