flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,kepler_id
,,0,-0.0010416094,700.2982139071338,746.0112593548546,11914,8158.1177,2.9680312,437.73264,0.11845478,,,0,,,,,700.2982139071338,0.0004514924,746.0112593548546,0.0003275577,-0.026040912,0.07369948,7121885
12232.149,4.591581,0,-0.0010422973,700.2963192951884,746.0119471697789,11915,8151.0083,2.9673088,437.40436,0.11855488,12232.149,4.591581,0,,,,,700.2963192951884,0.00045183845,746.0119471697789,0.0003277377,-0.026033662,0.07364287,7121885
12221.073,4.5903063,16,-0.0010436726,700.2968361182242,746.0123213390311,11917,8145.0894,2.966766,437.54907,0.11857517,12221.073,4.5903063,16,,,,,700.2968361182242,0.00045214072,746.0123213390311,0.00032795686,-0.026117748,0.073775895,7121885
12226.713,4.5912433,0,-0.0010443598,700.2971601334284,746.0115848778676,11918,8150.1914,2.9672318,437.1808,0.118475854,12226.713,4.5912433,0,,,,,700.2971601334284,0.0004518492,746.0115848778676,0.00032773195,-0.026021592,0.07369508,7121885
12223.141,4.5911703,0,-0.0010450467,700.2981701484241,746.0118493973347,11919,8149.0054,2.9671009,437.3754,0.11867023,12223.141,4.5911703,0,,,,,700.2981701484241,0.0004515901,746.0118493973347,0.00032759862,-0.026086187,0.073708534,7121885
12217.329,4.5904093,0,-0.0010457335,700.2979419562691,746.0123593502124,11920,8146.2715,2.9667592,437.45392,0.118563384,12217.329,4.5904093,0,,,,,700.2979419562691,0.00045179803,746.0123593502124,0.000327772,-0.026118107,0.073639356,7121885
12222.3125,4.59099,0,-0.00104642,700.2976258949876,746.011986730526,11921,8148.061,2.9669785,437.541,0.11862265,12222.3125,4.59099,0,,,,,700.2976258949876,0.00045175749,746.011986730526,0.00032771542,-0.025917865,0.07350742,7121885
12214.703,4.590414,0,-0.0010471062,700.2973414712244,746.0119847735518,11922,8143.0063,2.9664898,437.72174,0.11833547,12214.703,4.590414,0,,,,,700.2973414712244,0.0004522015,746.0119847735518,0.0003279801,-0.025905142,0.07336648,7121885
12214.009,4.590126,0,-0.0010477923,700.2975252085275,746.0120670908979,11923,8142.9497,2.9664319,437.4088,0.118455455,12214.009,4.590126,0,,,,,700.2975252085275,0.000451831,746.0120670908979,0.00032780823,-0.025919251,0.073492564,7121885
12224.596,4.591153,0,-0.0010484781,700.2974673729279,746.0114452910291,11924,8147.1167,2.9669342,437.6239,0.118413426,12224.596,4.591153,0,,,,,700.2974673729279,0.00045158528,746.0114452910291,0.00032756763,-0.025803974,0.07334788,7121885
12230.315,4.5914187,0,-0.0010491636,700.2975746145022,746.0114393878714,11925,8151.274,2.9673262,437.64267,0.118376516,12230.315,4.5914187,0,,,,,700.2975746145022,0.00045189605,746.0114393878714,0.0003278604,-0.0256818,0.0731853,7121885
12227.997,4.591512,0,-0.001049849,700.2987721223216,746.012069340306,11926,8150.711,2.9672756,437.77118,0.1186123,12227.997,4.591512,0,,,,,700.2987721223216,0.00045124895,746.012069340306,0.00032734478,-0.025877642,0.07334101,7121885
12224.188,4.5906415,0,-0.001050534,700.2984775993814,746.0112700424272,11927,8146.4004,2.9668324,437.7719,0.118505284,12224.188,4.5906415,0,,,,,700.2984775993814,0.00045157154,746.0112700424272,0.00032762744,-0.025687916,0.07308454,7121885
12222.579,4.590228,0,-0.0010512188,700.297794180393,746.0120366602731,11928,8145.1797,2.9666953,438.14786,0.118490905,12222.579,4.590228,0,,,,,700.297794180393,0.00045153097,746.0120366602731,0.00032759385,-0.025767302,0.073253445,7121885
12230.808,4.592078,0,-0.0010519034,700.297585376796,746.0114835306949,11929,8151.052,2.9673307,437.84555,0.11851217,12230.808,4.592078,0,,,,,700.297585376796,0.00045195143,746.0114835306949,0.0003278228,-0.025734344,0.07313358,7121885
12226.186,4.5910916,0,-0.0010525878,700.2981342549876,746.0110533693296,11930,8146.23,2.9668736,438.2582,0.11844366,12226.186,4.5910916,0,,,,,700.2981342549876,0.00045159343,746.0110533693296,0.00032766946,-0.02555441,0.073120296,7121885
12226.732,4.590699,0,-0.0010532718,700.297880360424,746.0117935346203,11931,8146.2383,2.9668355,438.14688,0.11852015,12226.732,4.590699,0,,,,,700.297880360424,0.00045176063,746.0117935346203,0.00032775552,-0.025694571,0.073168725,7121885
12220.733,4.5906568,0,-0.0010539558,700.298248456991,746.011064811834,11932,8142.902,2.96653,438.12854,0.11863629,12220.733,4.5906568,0,,,,,700.298248456991,0.00045180405,746.011064811834,0.000327772,-0.025566118,0.07306845,7121885
12227.934,4.5911164,0,-0.0010546393,700.2986401065331,746.0113743383257,11933,8147.142,2.966961,437.97253,0.11853874,12227.934,4.5911164,0,,,,,700.2986401065331,0.00045145984,746.0113743383257,0.0003275844,-0.025635421,0.0730481,7121885
12224.937,4.5901484,0,-0.0010553227,700.2987610026354,746.0119382614203,11934,8146.2656,2.966741,437.86603,0.11860116,12224.937,4.5901484,0,,,,,700.2987610026354,0.00045178333,746.0119382614203,0.00032776632,-0.025527418,0.07292947,7121885
12231.672,4.590891,0,-0.0010560058,700.2983731382743,746.0111458944639,11935,8149.7285,2.9672728,438.77728,0.118418,12231.672,4.590891,0,,,,,700.2983731382743,0.00045173912,746.0111458944639,0.00032770555,-0.025530083,0.07311788,7121885
12225.682,4.5905113,0,-0.0010566887,700.2988311260103,746.011363839555,11936,8145.4062,2.966851,438.37347,0.118506365,12225.682,4.5905113,0,,,,,700.2988311260103,0.00045167896,746.011363839555,0.00032773626,-0.025487628,0.07294514,7121885
12222.441,4.590713,0,-0.0010573714,700.298079701562,746.0109605346408,11937,8144.7485,2.966788,438.2674,0.11858757,12222.441,4.590713,0,,,,,700.298079701562,0.00045179212,746.0109605346408,0.00032775686,-0.025529318,0.07292106,7121885
12232.368,4.591318,0,-0.0010580538,700.298617388438,746.0116127489206,11938,8148.7754,2.9671896,438.28775,0.11869378,12232.368,4.591318,0,,,,,700.298617388438,0.00045151805,746.0116127489206,0.0003275525,-0.025449974,0.07291629,7121885
12223.379,4.590459,0,-0.001058736,700.2978002182032,746.0111117666268,11939,8142.255,2.9664645,438.57065,0.118551865,12223.379,4.590459,0,,,,,700.2978002182032,0.00045189884,746.0111117666268,0.0003278183,-0.025378143,0.07278575,7121885
12230.454,4.591204,0,-0.001059418,700.2983877305093,746.0118033743693,11940,8148.588,2.967112,438.08313,0.118691176,12230.454,4.591204,0,,,,,700.2983877305093,0.00045173912,746.0118033743693,0.000327743,-0.025526192,0.072909966,7121885
12229.214,4.591034,0,-0.0010600997,700.2985809852581,746.0118460841572,11941,8145.777,2.9669123,438.89822,0.11847482,12229.214,4.591034,0,,,,,700.2985809852581,0.0004520282,746.0118460841572,0.00032790544,-0.025346793,0.0728185,7121885
12225.856,4.590695,0,-0.0010607811,700.2969030640508,746.0104413599823,11942,8144.176,2.9666927,438.57574,0.11855237,12225.856,4.590695,0,,,,,700.2969030640508,0.00045175367,746.0104413599823,0.00032766807,-0.025359709,0.072663136,7121885
12228.899,4.591336,0,-0.0010614623,700.298133427803,746.0115975297432,11943,8147.329,2.967131,438.43597,0.11866507,12228.899,4.591336,0,,,,,700.298133427803,0.0004519358,746.0115975297432,0.00032789767,-0.025439074,0.072756104,7121885
12222.374,4.5906916,0,-0.001062824,700.2963007922529,746.0107511305315,11945,8142.229,2.9665394,439.34952,0.118612826,12222.374,4.5906916,0,,,,,700.2963007922529,0.00045211372,746.0107511305315,0.00032791597,-0.025394827,0.07281992,7121885
12221.603,4.590178,0,-0.0010635045,700.297069197837,746.0112547206309,11946,8142.547,2.9666154,438.66373,0.118607245,12221.603,4.590178,0,,,,,700.297069197837,0.00045203874,746.0112547206309,0.00032792488,-0.025457522,0.0728748,7121885
12222.535,4.590543,0,-0.0010641847,700.297479745193,746.011365036184,11947,8141.4067,2.96652,439.151,0.118465,12222.535,4.590543,0,,,,,700.297479745193,0.00045203746,746.011365036184,0.00032787037,-0.025405955,0.07270793,7121885
12221.985,4.590014,0,-0.0010648648,700.2981833169667,746.0111812044261,11948,8142.11,2.9664767,439.47586,0.11868591,12221.985,4.590014,0,,,,,700.2981833169667,0.0004517371,746.0111812044261,0.00032775511,-0.025458552,0.072701894,7121885
12221.102,4.5908546,0,-0.0010655446,700.298942620264,746.0110773883309,11949,8141.327,2.9664543,438.93027,0.11860247,12221.102,4.5908546,0,,,,,700.298942620264,0.000451846,746.0110773883309,0.0003278046,-0.025415784,0.072671704,7121885
12225.301,4.590804,0,-0.0010662241,700.297033523105,746.0112913729104,11950,8142.235,2.966495,439.13745,0.11861818,12225.301,4.590804,0,,,,,700.297033523105,0.0004518964,746.0112913729104,0.00032780986,-0.025395487,0.07258424,7121885
12225.91,4.5902624,0,-0.0010669034,700.2985767827856,746.0110355519616,11951,8143.4614,2.9666271,438.90005,0.11865085,12225.91,4.5902624,0,,,,,700.2985767827856,0.0004517536,746.0110355519616,0.00032777243,-0.025385812,0.072720416,7121885
12228.456,4.590842,0,-0.0010675823,700.2979483079838,746.0115570587695,11952,8143.716,2.9666603,439.47836,0.118543155,12228.456,4.590842,0,,,,,700.2979483079838,0.00045168327,746.0115570587695,0.00032772368,-0.025460655,0.072729826,7121885
12223.071,4.590243,0,-0.0010682611,700.2986792270017,746.0109119292565,11953,8140.4346,2.9664125,439.21143,0.118481986,12223.071,4.590243,0,,,,,700.2986792270017,0.00045206555,746.0109119292565,0.0003279787,-0.025337357,0.07262368,7121885
12238.1,4.5918956,0,-0.0010689397,700.2983485117722,746.010811050501,11954,8150.384,2.967489,440.30792,0.11850006,12238.1,4.5918956,0,,,,,700.2983485117722,0.0004514973,746.010811050501,0.0003275383,-0.02536515,0.07246385,7121885
12229.19,4.590453,0,-0.001069618,700.298545025864,746.0108874185229,11955,8143.7207,2.9668083,439.2743,0.118691474,12229.19,4.590453,0,,,,,700.298545025864,0.00045170655,746.0108874185229,0.00032772607,-0.025356993,0.0724537,7121885
12227.094,4.5906057,0,-0.001070296,700.297872394683,746.0102870370764,11956,8142.023,2.966619,439.46478,0.118559465,12227.094,4.5906057,0,,,,,700.297872394683,0.00045211395,746.0102870370764,0.00032798975,-0.02537929,0.07236612,7121885
