flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,kepler_id
15321.941,6.028846,0,0.00095711224,18.815300767222126,1021.3151990379989,1105,12388.06,4.6020474,1424.7184,1.1548618,15321.941,6.028846,0,,,,,18.815300767222126,0.0005817552,1021.3151990379989,0.0005079214,0.038322195,0.025159262,12557713
15344.031,6.0240235,0,0.00095773273,18.81529371326063,1021.3143860091841,1106,12407.471,4.6008587,1423.1449,1.1445059,15344.031,6.0240235,0,,,,,18.81529371326063,0.0005808824,1021.3143860091841,0.0005071113,0.03841239,0.025278602,12557713
15329.332,6.025106,0,0.0009583532,18.81487723539982,1021.3150654740554,1107,12396.65,4.5998716,1425.0217,1.1437513,15329.332,6.025106,0,,,,,18.81487723539982,0.0005814911,1021.3150654740554,0.0005076797,0.038628563,0.025499284,12557713
15337.675,6.022661,0,0.00095897366,18.81654470067034,1021.3153928107033,1108,12397.781,4.5994735,1422.6239,1.1419421,15337.675,6.022661,0,,,,,18.81654470067034,0.00058134523,1021.3153928107033,0.0005074917,0.038284224,0.025254417,12557713
15337.1455,6.0219145,8192,0.0009595941,18.81588109853408,1021.3148481172199,1109,12403.19,4.5996914,1422.6769,1.1417385,15337.1455,6.0219145,8192,,,,,18.81588109853408,0.00058118545,1021.3148481172199,0.00050741294,0.038535036,0.025001835,12557713
15333.953,6.019076,0,0.0009602145,18.816173616215163,1021.3142378220068,1110,12398.005,4.59976,1425.0936,1.1427903,15333.953,6.019076,0,,,,,18.816173616215163,0.000581607,1021.3142378220068,0.00050772994,0.03819248,0.024880268,12557713
15339.644,6.0192175,8192,0.00096083485,18.814812288550666,1021.3145282572493,1111,12400.459,4.5994883,1420.2384,1.1424794,15339.644,6.0192175,8192,,,,,18.814812288550666,0.0005810161,1021.3145282572493,0.0005072747,0.037931018,0.02467806,12557713
15332.346,6.017377,0,0.0009614552,18.815143950916337,1021.3148464441946,1112,12396.637,4.5995636,1423.1145,1.1429312,15332.346,6.017377,0,,,,,18.815143950916337,0.0005811479,1021.3148464441946,0.00050739275,0.03785028,0.024914306,12557713
15342.058,6.022202,0,0.00096207554,18.815432516430484,1021.3140646407876,1113,12402.996,4.60063,1422.8862,1.1448877,15342.058,6.022202,0,,,,,18.815432516430484,0.0005811097,1021.3140646407876,0.0005072579,0.038028132,0.024694484,12557713
15334.638,6.02227,0,0.00096269586,18.81548691752666,1021.3151134480645,1114,12398.185,4.600361,1423.8712,1.1452028,15334.638,6.02227,0,,,,,18.81548691752666,0.0005812141,1021.3151134480645,0.0005073755,0.037976418,0.02460185,12557713
15333.894,6.0194545,0,0.0009633162,18.814137560849733,1021.3139919524878,1115,12394.503,4.5994053,1426.5419,1.1414893,15333.894,6.0194545,0,,,,,18.814137560849733,0.0005816734,1021.3139919524878,0.0005078513,0.03784149,0.024582872,12557713
15355.569,6.0222745,0,0.00096393644,18.816164085985818,1021.3152180193018,1116,12415.853,4.601291,1422.109,1.1444345,15355.569,6.0222745,0,,,,,18.816164085985818,0.0005806117,1021.3152180193018,0.0005067896,0.038161498,0.02502611,12557713
