flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,kepler_id
20880.021,5.133149,0,0.00083899865,328.77685060606836,230.2417243738103,1105,17166.217,4.2179375,806.08685,0.2508862,20880.021,5.133149,0,,,,,328.77685060606836,0.0002966195,230.2417243738103,0.00029711987,-0.0034341624,-0.01808358,8973000
20879.885,5.134163,0,0.00083986414,328.7779190263391,230.2418475968213,1106,17165.316,4.217994,807.09674,0.25097117,20879.885,5.134163,0,,,,,328.7779190263391,0.00029669123,230.2418475968213,0.00029715936,-0.0035046933,-0.018012479,8973000
20875.053,5.1324973,0,0.0008407296,328.77682792852306,230.24144554775177,1107,17161.15,4.2176685,806.9689,0.2511587,20875.053,5.1324973,0,,,,,328.77682792852306,0.00029675232,230.24144554775177,0.0002972294,-0.003415588,-0.018158868,8973000
20866.29,5.1290426,0,0.00084159506,328.7782583020081,230.2415815695209,1108,17154.486,4.2172284,807.6447,0.2511322,20866.29,5.1290426,0,,,,,328.7782583020081,0.00029695142,230.2415815695209,0.00029745005,-0.0031514615,-0.018283216,8973000
20873.936,5.1325,0,0.0008424605,328.7768735496737,230.24204548751229,1109,17160.654,4.217417,807.2132,0.25120082,20873.936,5.1325,0,,,,,328.7768735496737,0.00029675747,230.24204548751229,0.00029730482,-0.0038431354,-0.01817645,8973000
20870.84,5.1356974,0,0.000843326,328.7770611509544,230.2414769648255,1110,17158.238,4.2175198,807.2145,0.25129706,20870.84,5.1356974,0,,,,,328.7770611509544,0.00029692642,230.2414769648255,0.000297471,-0.0036920137,-0.018090034,8973000
20866.67,5.1331053,0,0.00084419135,328.77696753606966,230.24205407545213,1111,17154.709,4.217132,807.60956,0.2511375,20866.67,5.1331053,0,,,,,328.77696753606966,0.00029683008,230.24205407545213,0.00029732374,-0.00365825,-0.01805928,8973000
20872.12,5.136062,0,0.0008450568,328.77688071161066,230.24183083864392,1112,17158.773,4.217411,807.31573,0.25088093,20872.12,5.136062,0,,,,,328.77688071161066,0.00029682554,230.24183083864392,0.0002973359,-0.0038936217,-0.017849684,8973000
20869.977,5.13372,0,0.00084592216,328.7773819345789,230.24144443464075,1113,17156.75,4.2173004,807.38446,0.2509654,20869.977,5.13372,0,,,,,328.7773819345789,0.00029689772,230.24144443464075,0.00029741784,-0.003831119,-0.017983623,8973000
20865.613,5.1358747,0,0.0008467876,328.776529634756,230.24206262547952,1114,17153.367,4.2169266,806.84753,0.2509562,20865.613,5.1358747,0,,,,,328.776529634756,0.00029681242,230.24206262547952,0.00029735145,-0.004102669,-0.017865982,8973000
20856.79,5.13207,0,0.00084765296,328.7775635966199,230.241786956988,1115,17146.783,4.2164903,806.39954,0.25097236,20856.79,5.13207,0,,,,,328.7775635966199,0.00029702188,230.241786956988,0.00029751455,-0.0037367865,-0.018068457,8973000
20859.285,5.134653,0,0.00084851834,328.7769146561917,230.24210406064364,1116,17148.61,4.216639,807.1803,0.251026,20859.285,5.134653,0,,,,,328.7769146561917,0.00029700607,230.24210406064364,0.00029751152,-0.0038963933,-0.018064579,8973000
20854.484,5.130764,0,0.00084938365,328.7769317760469,230.24108321308535,1117,17144.678,4.2163873,806.96173,0.2512319,20854.484,5.130764,0,,,,,328.7769317760469,0.000297079,230.24108321308535,0.00029759997,-0.0038132134,-0.018361779,8973000
20857.494,5.1322255,0,0.00085024897,328.77652689015554,230.24163346314708,1118,17147.312,4.216496,807.23834,0.251414,20857.494,5.1322255,0,,,,,328.77652689015554,0.00029695392,230.24163346314708,0.00029750203,-0.0036024882,-0.018247642,8973000
20854.055,5.1313624,0,0.00085111434,328.777345869059,230.2419020319132,1119,17143.66,4.2163005,806.9707,0.25098094,20854.055,5.1313624,0,,,,,328.777345869059,0.00029698806,230.2419020319132,0.0002974949,-0.0035953312,-0.018327966,8973000
20847.822,5.132443,0,0.0008519796,328.7769172526362,230.2415156258585,1120,17138.809,4.2158217,806.01575,0.25117537,20847.822,5.132443,0,,,,,328.7769172526362,0.00029708564,230.2415156258585,0.00029757756,-0.003637498,-0.01844615,8973000
20844.938,5.1302958,0,0.0008528449,328.7770299027143,230.2410735425518,1121,17136.285,4.2157745,806.76843,0.25120795,20844.938,5.1302958,0,,,,,328.7770299027143,0.00029707764,230.2410735425518,0.0002976624,-0.0038413012,-0.018561257,8973000
20843.705,5.128608,0,0.0008537102,328.77718054974326,230.2416891340868,1122,17135.492,4.2156286,806.67053,0.2509093,20843.705,5.128608,0,,,,,328.77718054974326,0.00029721498,230.2416891340868,0.000297722,-0.0035094619,-0.018670212,8973000
20846.701,5.130249,0,0.0008545755,328.77692537345735,230.24157837539207,1123,17138.275,4.215807,806.06793,0.25111833,20846.701,5.130249,0,,,,,328.77692537345735,0.00029713215,230.24157837539207,0.0002976442,-0.003990284,-0.018546194,8973000
20848.146,5.133579,0,0.00085544074,328.77747643882293,230.24147639628902,1124,17139.324,4.215954,806.53265,0.25109938,20848.146,5.133579,0,,,,,328.77747643882293,0.00029713422,230.24147639628902,0.0002976463,-0.0039285384,-0.018627634,8973000
20846.605,5.1327534,0,0.00085630594,328.7774364941245,230.24228974701842,1125,17138.0,4.2157993,805.9304,0.2513401,20846.605,5.1327534,0,,,,,328.7774364941245,0.00029717613,230.24228974701842,0.00029765436,-0.00370441,-0.018234095,8973000
20834.67,5.1293025,0,0.0008571712,328.77608023763355,230.24117062108627,1126,17127.662,4.2149205,806.7222,0.25077736,20834.67,5.1293025,0,,,,,328.77608023763355,0.00029710276,230.24117062108627,0.0002975959,-0.004025097,-0.018523837,8973000
20840.31,5.130658,0,0.0008580364,328.77617044646905,230.24177899165537,1127,17132.406,4.2153535,805.8133,0.25129718,20840.31,5.130658,0,,,,,328.77617044646905,0.00029715072,230.24177899165537,0.00029767922,-0.003977156,-0.018253123,8973000
20842.555,5.1339135,0,0.0008589016,328.77678904277013,230.2423467286147,1128,17134.588,4.215562,806.7642,0.25116608,20842.555,5.1339135,0,,,,,328.77678904277013,0.00029714557,230.2423467286147,0.00029764159,-0.003898677,-0.018153183,8973000
20828.916,5.128569,0,0.0008597668,328.77704801620604,230.24169594679398,1129,17123.658,4.2147336,805.988,0.25111768,20828.916,5.128569,0,,,,,328.77704801620604,0.00029738218,230.24169594679398,0.00029790212,-0.0038198177,-0.01848727,8973000
20833.145,5.130988,0,0.00086063193,328.7770161310344,230.24132452851478,1130,17126.648,4.2150345,807.21094,0.25109735,20833.145,5.130988,0,,,,,328.7770161310344,0.0002973185,230.24132452851478,0.00029782174,-0.003933807,-0.018106345,8973000
20835.957,5.131354,0,0.00086149713,328.77672599001875,230.24201128962412,1131,17128.545,4.2151484,806.2561,0.25113803,20835.957,5.131354,0,,,,,328.77672599001875,0.0002972985,230.24201128962412,0.00029784092,-0.004298638,-0.018332386,8973000
20833.705,5.1335,0,0.0008623622,328.7760087007042,230.2426184804067,1132,17127.457,4.215012,805.6022,0.25091204,20833.705,5.1335,0,,,,,328.7760087007042,0.00029733748,230.2426184804067,0.00029783376,-0.004066358,-0.018084437,8973000
