flux,flux_err,quality,timecorr,centroid_col,centroid_row,cadenceno,sap_flux,sap_flux_err,sap_bkg,sap_bkg_err,pdcsap_flux,pdcsap_flux_err,sap_quality,psf_centr1,psf_centr1_err,psf_centr2,psf_centr2_err,mom_centr1,mom_centr1_err,mom_centr2,mom_centr2_err,pos_corr1,pos_corr2,kepler_id
,,16,-0.0010164349,697.7927750435417,695.7355322569346,16373,3055.9146,2.3375823,649.8603,0.14727381,,,16,,,,,697.7927750435417,0.0010634166,695.7355322569346,0.0010405737,-0.008181188,-0.029605048,9837083
4057.9543,3.0681837,16,-0.0010159151,697.7925566223586,695.7367685477084,16374,3053.8633,2.3372483,649.6124,0.14740415,4057.9543,3.0681837,16,,,,,697.7925566223586,0.00106538,695.7367685477084,0.0010427706,-0.008303602,-0.02999988,9837083
4055.4592,3.0678694,16,-0.001015395,697.7942767392551,695.7383477700794,16375,3051.2903,2.3370025,649.8044,0.14709796,4055.4592,3.0678694,16,,,,,697.7942767392551,0.0010663745,695.7383477700794,0.0010439183,-0.008367443,-0.029591056,9837083
4052.8115,3.0681312,16,-0.0010148748,697.7919431523316,695.7370405856576,16376,3048.7192,2.336595,649.9645,0.14718221,4052.8115,3.0681312,16,,,,,697.7919431523316,0.0010666924,695.7370405856576,0.0010441071,-0.008383118,-0.029637879,9837083
4053.8691,3.067897,16,-0.0010143544,697.7923297571446,695.7373009452809,16377,3049.5168,2.3366687,650.22833,0.14735582,4053.8691,3.067897,16,,,,,697.7923297571446,0.0010649163,695.7373009452809,0.0010425696,-0.008339651,-0.030020809,9837083
3957.2805,3.0554678,144,-0.0010138337,697.788892266701,695.7325704666529,16378,2975.4475,2.327769,650.2873,0.14746343,3957.2805,3.0554678,144,,,,,697.788892266701,0.00108961,695.7325704666529,0.0010669141,-0.008111023,-0.03020974,9837083
3874.7014,3.0434194,16,-0.0010133128,697.7887680945088,695.7297889253064,16379,2912.436,2.3179958,649.6774,0.14735071,3874.7014,3.0434194,16,,,,,697.7887680945088,0.0011075825,695.7297889253064,0.0010844764,-0.007867283,-0.029954944,9837083
4022.6606,3.0629382,16,-0.0010127918,697.7925019480858,695.7361936373951,16380,3025.0593,2.3332443,649.6937,0.1472923,4022.6606,3.0629382,16,,,,,697.7925019480858,0.0010723443,695.7361936373951,0.001049637,-0.007556305,-0.029718924,9837083
4053.3845,3.0676413,16,-0.0010122705,697.7934816176336,695.7376565590325,16381,3047.4404,2.3362732,649.80646,0.14730372,4053.3845,3.0676413,16,,,,,697.7934816176336,0.0010644713,695.7376565590325,0.0010418801,-0.007611308,-0.029739313,9837083
4055.7124,3.0677538,16,-0.001011749,697.7945019675844,695.7392756944329,16382,3049.0103,2.3365645,649.5038,0.1474549,4055.7124,3.0677538,16,,,,,697.7945019675844,0.0010651466,695.7392756944329,0.0010424755,-0.007786256,-0.029386556,9837083
4058.3884,3.0677037,16,-0.0010112273,697.7925522309422,695.738089098402,16383,3050.74,2.336819,649.4743,0.14728682,4058.3884,3.0677037,16,,,,,697.7925522309422,0.0010634247,695.738089098402,0.001040971,-0.008141449,-0.029285818,9837083
4059.3718,3.0682626,16,-0.0010107054,697.7923314810433,695.7381340443042,16384,3050.4531,2.3368828,649.4704,0.14734125,4059.3718,3.0682626,16,,,,,697.7923314810433,0.0010653806,695.7381340443042,0.0010431041,-0.008619889,-0.029300332,9837083
