koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,label,kepid,split,split_label
CANDIDATE,40.0686713,151.80901,2454984.809,0,0.029,5.8875,970.9,0.2234,89.97,62.0,1,0.823,007/007456/007456001/dv/kplr007456001-20160209194854_dvr.pdf,6026,4.411,0.992,0.924,,14.683,1,7456001,train,1
CANDIDATE,97.4463194,204.83009,2455037.83,0,0.063,6.765,2141.1,0.3729,89.97,62.8,1,0.5941,004/004552/004552729/dv/kplr004552729-20160209194854_dvr.pdf,4735,4.627,0.686,0.73,,14.981,1,4552729,train,1
FALSE POSITIVE,1.340649911,132.05521,2454965.055,0,0.561,5.0912,627630.0,0.0237,81.87,791.0,1,-1.0,009/009954/009954225/dv/kplr009954225-20160209194854_dvr.pdf,6332,4.26,1.222,0.991,,14.558,0,9954225,train,0
CANDIDATE,1.82708193,170.52583,2455003.526,0,0.033,1.96401,1164.7,0.0276,89.74,273.7,1,0.3198,011/011624/011624249/dv/kplr011624249-20160209194854_dvr.pdf,5311,3.864,1.769,0.834,,13.807,1,11624249,train,1
CANDIDATE,15.31296388,171.79412,2455004.794,0,0.607,3.0935,864.9,0.1145,88.89,45.3,2,0.0924,010/010577/010577994/dv/kplr010577994-20160209194854_dvr.pdf,5081,4.596,0.77,0.864,,14.802,1,10577994,train,1
FALSE POSITIVE,12.59165638,134.7421233,2454967.742,0,0.629,5.53385,302580.0,0.0999,88.59,3990.5,1,-1.0,006/006029/006029130/dv/kplr006029130-20160209194854_dvr.pdf,5293,4.604,0.756,0.846,,14.832,0,6029130,train,0
CANDIDATE,60.32668824,145.057472,2454978.057,0,0.974,1.6864,3146.7,0.2448,89.57,57.0,4,0.8057,005/005384/005384713/dv/kplr005384713-20160209194854_dvr.pdf,3705,4.721,0.529,0.536,,13.693,1,5384713,train,1
CANDIDATE,4.454194254,172.8202233,2455005.82,0,0.479,2.3061,16042.0,0.0495,88.16,1022.2,1,0.0648,009/009115/009115800/dv/kplr009115800-20160209194854_dvr.pdf,5359,4.425,0.915,0.812,,14.995,1,9115800,train,1
CANDIDATE,1.219568047,133.460233,2454966.46,0,0.067,1.5681,494.9,0.0204,89.37,65.9,1,0.0124,011/011611/011611600/dv/kplr011611600-20160209194854_dvr.pdf,4838,4.625,0.701,0.778,,15.127,1,11611600,train,1
CANDIDATE,6.51003001,172.91588,2455005.916,0,0.023,3.3095,602.8,0.0689,89.91,48.1,1,0.5104,006/006838/006838050/dv/kplr006838050-20160209194854_dvr.pdf,5638,4.327,1.153,1.029,,14.825,1,6838050,train,1
CANDIDATE,288.3128666,374.79958,2455207.8,0,0.525,5.419,11181.0,0.846,89.92,96.8,1,0.6116,008/008827/008827930/dv/kplr008827930-20160209194854_dvr.pdf,5672,4.252,1.22,0.969,,15.999,1,8827930,train,1
FALSE POSITIVE,0.530967171,131.725385,2454964.725,0,0.84,3.8102,378390.0,0.0128,67.68,671.9,1,-1.0,008/008552/008552540/dv/kplr008552540-20160209194854_dvr.pdf,5951,4.439,0.991,0.983,,10.292,0,8552540,train,0
CANDIDATE,24.85466504,173.99971,2455007.0,0,0.746,9.182,776.2,0.1992,87.08,88.0,2,0.0103,003/003662/003662838/dv/kplr003662838-20160209194854_dvr.pdf,6967,3.864,2.527,1.7,,12.059,1,3662838,train,1
CANDIDATE,3.584101048,170.427829,2455003.428,0,0.045,2.7316,2608.1,0.0462,89.76,166.3,1,0.384,009/009820/009820483/dv/kplr009820483-20160209194854_dvr.pdf,5739,4.518,0.922,1.021,,15.954,1,9820483,train,1
CANDIDATE,5.398752862,173.858666,2455006.859,0,0.015,3.4303,346.5,0.0602,89.93,289.6,2,0.0137,011/011295/011295426/dv/kplr011295426-20160209194854_dvr.pdf,5790,4.279,1.198,0.997,,9.997,1,11295426,train,1
FALSE POSITIVE,5.910371418,360.2852478,2455193.285,0,0.065,3.88962,17219.0,0.0646,89.71,990.3,2,0.6161,005/005282/005282049/dv/kplr005282049-20160209194854_dvr.pdf,6200,4.488,0.958,1.029,,15.169,0,5282049,train,0
FALSE POSITIVE,2.618414643,134.044367,2454967.044,0,0.356,4.99923,200860.0,0.0457,86.35,3260.0,1,-1.0,010/010686/010686876/dv/kplr010686876-20160209194854_dvr.pdf,8143,3.96,2.361,1.854,,11.727,0,10686876,train,0
CANDIDATE,3.014330766,357.37948,2455190.379,0,0.01,2.4747,975.3,0.0398,89.94,57.3,1,0.7519,006/006719/006719086/dv/kplr006719086-20160209194854_dvr.pdf,5209,4.446,0.953,0.925,,15.673,1,6719086,train,1
FALSE POSITIVE,2.037453129,131.5522356,2454964.552,0,0.611,5.43155,315910.0,0.0338,82.0,6944.9,1,-1.0,010/010480/010480952/dv/kplr010480952-20160209194854_dvr.pdf,6456,3.906,2.056,1.244,,12.22,0,10480952,train,0
FALSE POSITIVE,2.14344093,133.497247,2454966.497,0,0.686,3.9741,133320.0,0.0296,82.13,645.9,1,0.085,009/009913/009913798/dv/kplr009913798-20160209194854_dvr.pdf,4817,4.624,0.7,0.767,,14.945,0,9913798,train,0
CANDIDATE,5.0800579,174.42853,2455007.429,0,0.636,5.207,222.8,0.0641,83.85,56.7,1,0.5216,003/003353/003353050/dv/kplr003353050-20160209194854_dvr.pdf,6049,3.769,2.52,1.359,,13.281,1,3353050,train,1
FALSE POSITIVE,0.379463865,170.2480164,2455003.248,0,1.246,0.86896,1973.3,0.0099,46.6,458.6,2,0.9047,003/003233/003233043/dv/kplr003233043-20160209194854_dvr.pdf,5075,3.892,1.783,0.905,,13.787,0,3233043,train,0
CANDIDATE,5.63252508,133.81818,2454966.818,0,0.455,2.1448,634.4,0.0598,88.58,70.9,1,0.0716,008/008107/008107225/dv/kplr008107225-20160209194854_dvr.pdf,5216,4.58,0.804,0.896,,14.353,1,8107225,train,1
CANDIDATE,9.76785911,139.43968,2454972.44,0,0.916,2.1649,585.4,0.0852,86.73,54.1,1,0.3492,009/009455/009455325/dv/kplr009455325-20160209194854_dvr.pdf,5371,4.513,0.852,0.864,,13.766,1,9455325,train,1
FALSE POSITIVE,2.33211505,132.19683,2454965.197,0,1.747,2.96723,105950.0,0.0341,77.38,997.8,1,-1.0,009/009613/009613070/dv/kplr009613070-20160209194854_dvr.pdf,6384,4.348,1.094,0.97,,14.087,0,9613070,train,0
FALSE POSITIVE,25.19830439,142.2240343,2454975.224,0,1.069,5.1942,73834.0,0.1668,88.38,1669.4,1,0.5582,007/007767/007767733/dv/kplr007767733-20160209194854_dvr.pdf,5955,4.534,0.883,0.972,,15.94,0,7767733,train,0
CANDIDATE,9.467821474,178.415842,2455011.416,0,0.081,2.4327,2237.0,0.0691,89.85,124.7,2,0.0813,009/009388/009388479/dv/kplr009388479-20160209194854_dvr.pdf,3582,4.807,0.458,0.491,,15.073,1,9388479,train,1
FALSE POSITIVE,66.36099916,168.379642,2455001.38,0,0.486,20.0614,416740.0,0.2952,89.3,1866.7,1,-1.0,007/007132/007132542/dv/kplr007132542-20160209194854_dvr.pdf,5583,4.463,0.857,0.778,,15.327,0,7132542,train,0
CANDIDATE,39.79220077,175.250558,2455008.251,0,0.019,4.466,610.4,0.2144,89.98,179.5,4,0.1503,008/008478/008478994/dv/kplr008478994-20160209194854_dvr.pdf,5437,4.571,0.781,0.829,,9.705,1,8478994,train,1
FALSE POSITIVE,0.706428634,132.1461749,2454965.146,0,0.393,1.75182,372130.0,0.014,85.35,1066.7,1,0.987,008/008094/008094140/dv/kplr008094140-20160209194854_dvr.pdf,4429,4.569,0.736,0.733,,15.159,0,8094140,train,0
CANDIDATE,14.28228147,180.84677,2455013.847,0,0.019,2.6588,983.2,0.0978,89.97,44.7,1,0.3381,005/005686/005686174/dv/kplr005686174-20160209194854_dvr.pdf,4102,4.675,0.595,0.612,,14.672,1,5686174,train,1
FALSE POSITIVE,27.30815016,143.504361,2454976.504,0,0.167,4.43906,388000.0,0.1611,89.87,820.9,1,-1.0,012/012356/012356914/dv/kplr012356914-20160209194854_dvr.pdf,5541,4.574,0.739,0.747,,15.529,0,12356914,train,0
CANDIDATE,124.0358994,136.015098,2454969.015,0,0.075,4.8472,7690.0,0.4947,89.98,190.1,1,0.4522,010/010656/010656508/dv/kplr010656508-20160209194854_dvr.pdf,5822,4.244,1.28,1.047,,14.989,1,10656508,train,1
