koi_disposition,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_impact,koi_duration,koi_depth,koi_sma,koi_incl,koi_model_snr,koi_count,koi_bin_oedp_sig,koi_datalink_dvr,koi_steff,koi_slogg,koi_srad,koi_smass,koi_sage,koi_kepmag,label,kepid,split,split_label
FALSE POSITIVE,1.341078755,131.8392432,2454964.839,0,0.309,3.86492,112150.0,0.025,84.9,1829.3,1,0.0064,003/003851/003851193/dv/kplr003851193-20160209194854_dvr.pdf,6368,4.323,1.225,1.151,,13.682,0,3851193,train,0
FALSE POSITIVE,2.302365255,132.4231,2454965.423,0,1.1,23.88,62160.0,0.0344,40.96,468.4,1,-1.0,004/004909/004909707/dv/kplr004909707-20160209194854_dvr.pdf,5948,4.269,1.229,1.025,,10.691,0,4909707,train,0
CANDIDATE,21.3851584,178.78285,2455011.783,0,0.518,4.0819,663.9,0.1409,89.16,67.3,1,0.6016,009/009578/009578686/dv/kplr009578686-20160209194854_dvr.pdf,5376,4.516,0.825,0.814,,13.94,1,9578686,train,1
FALSE POSITIVE,31.9733117,133.867225,2454966.867,0,1.35,13.2105,75054.0,0.2502,86.09,1554.1,1,0.0005,008/008560/008560861/dv/kplr008560861-20160209194854_dvr.pdf,7854,3.669,3.462,2.039,,8.5,0,8560861,train,0
FALSE POSITIVE,7.964440392,136.194674,2454969.195,0,0.001,9.1701,68454.0,0.0693,90.0,693.8,1,0.0916,009/009576/009576197/dv/kplr009576197-20160209194854_dvr.pdf,5250,4.548,0.736,0.698,,14.641,0,9576197,train,0
FALSE POSITIVE,44.14579777,167.392037,2455000.392,0,0.864,4.088,224230.0,0.237,89.57,434.9,1,0.8569,012/012643/012643582/dv/kplr012643582-20160209194854_dvr.pdf,5876,4.492,0.896,0.91,,16.442,0,12643582,train,0
CANDIDATE,6.312508525,132.654418,2454965.654,0,0.029,2.7455,1286.0,0.0561,89.91,112.5,2,0.8566,004/004249/004249725/dv/kplr004249725-20160209194854_dvr.pdf,4090,4.696,0.571,0.591,,14.735,1,4249725,train,1
FALSE POSITIVE,17.44564047,135.7462627,2454968.746,0,0.588,6.08966,334160.0,0.1311,88.98,4093.9,1,-1.0,006/006522/006522750/dv/kplr006522750-20160209194854_dvr.pdf,5759,4.481,0.945,0.984,,11.23,0,6522750,train,0
FALSE POSITIVE,9.286358079,171.8214689,2455004.821,0,0.377,3.49949,44791.0,0.081,89.06,1671.1,1,0.0415,005/005372/005372966/dv/kplr005372966-20160209194854_dvr.pdf,5670,4.523,0.821,0.82,,15.365,0,5372966,train,0
CANDIDATE,158.6850022,173.94993,2455006.95,0,0.034,11.5372,898.3,0.5444,89.98,97.4,1,0.0002,010/010528/010528068/dv/kplr010528068-20160209194854_dvr.pdf,5751,4.34,1.034,0.852,,12.783,1,10528068,train,1
CANDIDATE,17.23232894,135.0922,2454968.092,0,0.395,4.5568,509.8,0.1312,89.17,64.1,3,0.841,007/007219/007219825/dv/kplr007219825-20160209194854_dvr.pdf,6086,4.274,1.216,1.013,,14.061,1,7219825,train,1
FALSE POSITIVE,18.64632309,139.0920079,2454972.092,0,0.742,8.853,231000.0,0.1589,88.08,2895.8,1,0.361,009/009119/009119405/dv/kplr009119405-20160209194854_dvr.pdf,5786,3.542,3.478,1.536,,13.729,0,9119405,train,0
FALSE POSITIVE,0.532087933,131.972409,2454964.972,0,0.279,3.45028,510370.0,0.0129,82.81,1069.5,1,-1.0,011/011825/011825057/dv/kplr011825057-20160209194854_dvr.pdf,5780,4.438,1.0,1.0,,18.852,0,11825057,train,0
CANDIDATE,4.959319244,172.2585292,2455005.259,0,0.831,2.22739,9802.0,0.0565,86.15,696.5,1,0.0517,011/011138/011138155/dv/kplr011138155-20160209194854_dvr.pdf,5712,4.359,1.082,0.976,,15.263,1,11138155,train,1
FALSE POSITIVE,7.946367138,135.0947711,2454968.095,0,0.636,2.58667,278090.0,0.0647,88.92,1228.9,1,0.0,005/005731/005731312/dv/kplr005731312-20160209194854_dvr.pdf,4789,4.678,0.573,0.571,,13.811,0,5731312,train,0
CANDIDATE,15.95995611,171.52098,2455004.521,0,0.526,4.3149,523.2,0.1272,88.78,70.9,2,0.9347,011/011568/011568987/dv/kplr011568987-20160209194854_dvr.pdf,5936,4.501,0.965,1.075,,13.235,1,11568987,train,1
FALSE POSITIVE,4.664186517,133.670668,2454966.671,0,0.29,4.0639,555380.0,0.063,88.88,445.7,1,-1.0,003/003735/003735629/dv/kplr003735629-20160209194854_dvr.pdf,5062,3.515,3.579,1.53,,16.144,0,3735629,train,0
FALSE POSITIVE,3.326193904,133.329774,2454966.33,0,0.001,2.08375,178470.0,0.031,90.0,502.0,1,0.1948,007/007605/007605600/dv/kplr007605600-20160209194854_dvr.pdf,3520,4.906,0.349,0.358,,14.888,0,7605600,train,0
FALSE POSITIVE,345.1846728,228.840845,2455061.841,0,1.179,6.5468,29989.0,0.9348,89.79,687.5,1,0.4891,005/005347/005347537/dv/kplr005347537-20160209194854_dvr.pdf,5712,4.424,0.971,0.912,,14.023,0,5347537,train,0
CANDIDATE,4.40841331,172.18582,2455005.186,0,0.899,5.012,549.4,0.052,74.9,45.1,1,0.3585,007/007685/007685981/dv/kplr007685981-20160209194854_dvr.pdf,6007,4.457,0.961,0.968,,15.662,1,7685981,train,1
FALSE POSITIVE,10.69223009,139.953907,2454972.954,0,0.528,5.46939,376650.0,0.095,88.69,2402.0,1,-1.0,010/010711/010711551/dv/kplr010711551-20160209194854_dvr.pdf,6022,4.49,0.941,0.997,,15.507,0,10711551,train,0
CANDIDATE,172.7046083,236.92574,2455069.926,0,0.004,11.347,659.1,0.5886,90.0,92.9,1,0.8915,008/008686/008686097/dv/kplr008686097-20160209194854_dvr.pdf,5851,4.302,1.116,0.91,,12.209,1,8686097,train,1
CANDIDATE,124.5245224,254.17788,2455087.178,0,0.004,9.654,689.9,0.4865,90.0,47.5,3,0.4956,009/009597/009597345/dv/kplr009597345-20160209194854_dvr.pdf,5497,4.394,1.046,0.988,,13.967,1,9597345,train,1
CANDIDATE,13.22175358,139.570627,2454972.571,0,0.451,2.7884,876.5,0.1032,89.23,93.6,1,0.3071,009/009527/009527915/dv/kplr009527915-20160209194854_dvr.pdf,5211,4.556,0.799,0.838,,13.938,1,9527915,train,1
FALSE POSITIVE,4.200206781,134.6578,2454967.658,0,1.07,5.21948,82364.0,0.0586,80.65,943.7,1,0.0,006/006228/006228703/dv/kplr006228703-20160209194854_dvr.pdf,6873,4.051,1.923,1.518,,12.843,0,6228703,train,0
CANDIDATE,21.22261195,137.57403,2454970.574,0,0.02,6.5093,366.0,0.1506,89.96,114.9,2,0.6876,005/005094/005094751/dv/kplr005094751-20160209194854_dvr.pdf,5945,4.213,1.302,1.009,,12.365,1,5094751,train,1
CANDIDATE,54.4205407,148.70471,2454981.705,0,0.9414,8.559,598.0,0.2901,87.09,44.9,4,,006/006677/006677841/dv/kplr006677841-20141002224145_dvr.pdf,6781,4.422,1.067,1.097,,13.659,1,6677841,train,1
CANDIDATE,6.491682808,174.633553,2455007.634,0,0.535,4.301,7163.3,0.0715,87.17,502.3,2,0.9019,009/009141/009141746/dv/kplr009141746-20160209194854_dvr.pdf,6123,4.413,1.107,1.159,,15.649,1,9141746,train,1
CANDIDATE,34.4359387,193.038,2455026.038,0,0.017,5.82,424.5,0.2194,89.98,52.6,1,0.8962,011/011259/011259686/dv/kplr011259686-20160209194854_dvr.pdf,5929,4.243,1.363,1.185,,12.674,1,11259686,train,1
CANDIDATE,30.36044536,148.091546,2454981.092,0,0.359,6.0134,21125.0,0.1725,89.5,1126.2,1,0.0757,011/011391/011391018/dv/kplr011391018-20160209194854_dvr.pdf,4939,4.541,0.765,0.74,,14.388,1,11391018,train,1
FALSE POSITIVE,5.548250634,133.219686,2454966.22,0,0.296,6.06772,42873.0,0.0633,87.9,1170.5,1,0.1775,004/004851/004851464/dv/kplr004851464-20160209194854_dvr.pdf,6124,4.455,1.028,1.097,,15.752,0,4851464,train,0
FALSE POSITIVE,2.080431782,131.827995,2454964.828,0,0.771,7.4997,894200.0,0.0387,81.6,1585.2,1,-1.0,006/006470/006470516/dv/kplr006470516-20160209194854_dvr.pdf,8344,4.04,2.115,1.79,,16.448,0,6470516,train,0
FALSE POSITIVE,5.674353343,135.7548264,2454968.755,0,1.167,4.17722,36484.0,0.0588,82.43,1098.3,1,0.2758,011/011858/011858541/dv/kplr011858541-20160209194854_dvr.pdf,5594,4.303,1.071,0.841,,14.215,0,11858541,train,0
FALSE POSITIVE,0.687772143,131.8669185,2454964.867,0,1.166,2.56725,40368.0,0.0143,57.79,679.8,1,-1.0,006/006452/006452742/dv/kplr006452742-20160209194854_dvr.pdf,5885,4.413,0.933,0.821,,14.726,0,6452742,train,0
FALSE POSITIVE,8.214204254,135.01403,2454968.014,0,1.092,4.5905,74177.0,0.0755,85.56,613.1,1,0.6585,009/009532/009532123/dv/kplr009532123-20160209194854_dvr.pdf,5654,4.59,0.774,0.865,,16.356,0,9532123,train,0
CANDIDATE,3.024092505,132.4168573,2454965.417,0,0.424,2.8021,7765.0,0.0438,87.05,1225.3,1,0.2361,009/009818/009818381/dv/kplr009818381-20160209194854_dvr.pdf,6063,4.261,1.358,1.227,,13.958,1,9818381,train,1
FALSE POSITIVE,112.4635889,197.557702,2455030.558,0,0.523,31.8273,242410.0,0.5519,89.2,1374.0,1,0.0813,011/011671/011671429/dv/kplr011671429-20160209194854_dvr.pdf,7426,3.903,2.463,1.769,,10.967,0,11671429,train,0
FALSE POSITIVE,27.6776801,173.796579,2455006.797,0,0.933,2.1704,11545.0,0.182,89.15,431.6,1,0.3921,004/004376/004376644/dv/kplr004376644-20160209194854_dvr.pdf,6075,4.486,0.969,1.048,,13.767,0,4376644,train,0
FALSE POSITIVE,670.645531,209.04355,2455042.044,0,0.701,53.412,18091.0,1.5155,89.53,642.7,1,0.0001,011/011465/011465813/dv/kplr011465813-20160209194854_dvr.pdf,5520,4.466,0.983,1.03,,15.207,0,11465813,train,0
CANDIDATE,278.1243979,177.51831,2455010.518,0,0.871,3.978,2297.8,0.8423,89.84,58.5,1,0.005,007/007630/007630229/dv/kplr007630229-20160209194854_dvr.pdf,5799,4.408,1.05,1.028,,13.714,1,7630229,train,1
CANDIDATE,6.002548291,171.71419,2455004.714,0,0.914,4.1628,202.0,0.0697,79.39,71.6,2,0.5036,003/003642/003642289/dv/kplr003642289-20160209194854_dvr.pdf,6204,4.269,1.36,1.257,,12.73,1,3642289,train,1
FALSE POSITIVE,10.64374377,134.9422857,2454967.942,0,0.353,6.29783,436510.0,0.0827,89.02,3167.9,1,-1.0,004/004352/004352168/dv/kplr004352168-20160209194854_dvr.pdf,5282,4.578,0.694,0.665,,14.343,0,4352168,train,0
FALSE POSITIVE,2.214029545,133.1692046,2454966.169,0,0.371,5.64264,349110.0,0.0361,85.44,2680.5,1,-1.0,008/008301/008301013/dv/kplr008301013-20160209194854_dvr.pdf,6604,4.178,1.526,1.283,,13.3,0,8301013,train,0
FALSE POSITIVE,11.9311316,142.8536843,2454975.854,0,1.037,5.56983,300510.0,0.1003,87.71,5606.7,1,-1.0,008/008414/008414159/dv/kplr008414159-20160209194854_dvr.pdf,6089,4.449,0.959,0.942,,14.378,0,8414159,train,0
FALSE POSITIVE,2.665875491,131.6187983,2454964.619,0,0.878,7.59461,161390.0,0.0389,75.71,2274.7,1,0.0,008/008953/008953426/dv/kplr008953426-20160209194854_dvr.pdf,6234,4.351,1.159,1.097,,12.156,0,8953426,train,0
CANDIDATE,290.1401717,307.250618,2455140.251,0,0.935,2.1583,4836.0,0.8431,89.9,69.1,1,0.854,004/004638/004638237/dv/kplr004638237-20160209194854_dvr.pdf,5631,4.212,1.263,0.947,,13.906,1,4638237,train,1
FALSE POSITIVE,0.752158047,131.793035,2454964.793,0,1.157,2.42733,37879.0,0.0175,61.04,510.0,1,-1.0,007/007220/007220320/dv/kplr007220320-20160209194854_dvr.pdf,5770,3.844,2.221,1.255,,14.082,0,7220320,train,0
FALSE POSITIVE,3.671661096,132.0909174,2454965.091,0,0.923,4.29947,129240.0,0.0526,83.2,3152.6,1,0.0,008/008196/008196180/dv/kplr008196180-20160209194854_dvr.pdf,7343,4.02,1.94,1.436,,12.814,0,8196180,train,0
CANDIDATE,10.37168928,172.61729,2455005.617,0,0.537,3.035,1254.9,0.0873,88.66,64.5,2,0.5905,007/007678/007678434/dv/kplr007678434-20160209194854_dvr.pdf,5121,4.457,0.888,0.822,,15.193,1,7678434,train,1
FALSE POSITIVE,1.575631524,170.393276,2455003.393,0,1.065,2.59202,25627.0,0.0258,73.22,465.4,1,0.0,009/009597/009597411/dv/kplr009597411-20160209194854_dvr.pdf,6202,4.537,0.858,0.923,,14.731,0,9597411,train,0
CANDIDATE,3.849371737,157.526686,2454990.527,0,0.915,2.632,1298.6,0.0548,80.61,132.7,1,0.057,003/003861/003861595/dv/kplr003861595-20160209194854_dvr.pdf,6244,3.657,2.992,1.482,,11.432,1,3861595,train,1
CANDIDATE,0.805941833,132.127874,2454965.128,0,1.339,1.4432,3180.4,0.0147,54.12,55.4,1,1.0,012/012307/012307496/dv/kplr012307496-20160209194854_dvr.pdf,5022,4.597,0.672,0.651,,14.169,1,12307496,train,1
CANDIDATE,2.785821236,260.83731,2455093.837,0,0.893,3.5599,68.9,0.0408,72.39,53.6,1,0.3936,003/003632/003632418/dv/kplr003632418-20160209194854_dvr.pdf,6202,4.026,1.733,1.162,,8.224,1,3632418,train,1
CANDIDATE,21.21712312,171.64936,2455004.649,0,0.89,5.89,636.0,0.1508,86.39,56.2,1,0.8264,011/011090/011090765/dv/kplr011090765-20160209194854_dvr.pdf,6191,4.438,1.007,1.01,,14.56,1,11090765,train,1
FALSE POSITIVE,11.2570616,140.81576,2454973.816,0,0.0,29.059,690240.0,0.1078,90.0,655.2,1,-1.0,004/004245/004245897/dv/kplr004245897-20160209194854_dvr.pdf,6915,4.012,1.875,1.322,,12.538,0,4245897,train,0
CANDIDATE,6.33855946,354.85104,2455187.851,0,0.907,3.4617,721.7,0.0699,82.42,57.4,1,0.6382,008/008082/008082001/dv/kplr008082001-20160209194854_dvr.pdf,6108,4.466,1.03,1.132,,15.182,1,8082001,train,1
CANDIDATE,29.9111886,194.71129,2455027.711,0,0.041,6.6436,942.0,0.179,89.93,50.8,2,0.3095,003/003559/003559935/dv/kplr003559935-20160209194854_dvr.pdf,5275,4.397,0.969,0.855,,14.424,1,3559935,train,1
FALSE POSITIVE,185.0228822,273.185533,2455106.186,0,1.004,4.87326,43547.0,0.6712,89.77,938.2,1,0.0002,008/008246/008246781/dv/kplr008246781-20160209194854_dvr.pdf,6025,4.237,1.367,1.18,,14.685,0,8246781,train,0
CANDIDATE,0.592243731,131.654831,2454964.655,0,0.986,1.386,3992.4,0.0116,59.16,303.8,1,0.329,009/009084/009084778/dv/kplr009084778-20160209194854_dvr.pdf,4920,4.664,0.591,0.588,,15.653,1,9084778,train,1
FALSE POSITIVE,5.917085496,132.900327,2454965.9,0,0.095,23.7545,563290.0,0.0609,88.4,1331.5,1,-1.0,005/005266/005266937/dv/kplr005266937-20160209194854_dvr.pdf,5661,4.383,0.987,0.859,,14.352,0,5266937,train,0
FALSE POSITIVE,15.06649153,140.655427,2454973.655,0,0.988,6.2852,106050.0,0.1206,87.26,893.0,1,0.0,003/003655/003655326/dv/kplr003655326-20160209194854_dvr.pdf,5751,4.028,1.626,1.028,,14.213,0,3655326,train,0
FALSE POSITIVE,3.374684854,131.769948,2454964.77,0,1.04,4.48335,80917.0,0.0449,80.28,658.3,1,0.0,010/010487/010487119/dv/kplr010487119-20160209194854_dvr.pdf,5754,4.514,0.943,1.061,,15.746,0,10487119,train,0
CANDIDATE,4.243748097,173.563074,2455006.563,0,0.032,3.3603,1409.7,0.0501,89.82,139.8,1,0.2618,010/010123/010123064/dv/kplr010123064-20160209194854_dvr.pdf,5873,4.554,0.843,0.93,,15.0,1,10123064,train,1
CANDIDATE,13.82142084,131.79237,2454964.792,0,0.904,3.985,765.2,0.1005,86.05,75.3,3,0.4499,011/011288/011288051/dv/kplr011288051-20160209194854_dvr.pdf,4983,4.66,0.651,0.715,,14.139,1,11288051,train,1
FALSE POSITIVE,37.59029855,157.350357,2454990.35,0,0.38,4.3855,19939.0,0.2244,89.69,929.0,1,0.1142,010/010799/010799735/dv/kplr010799735-20160209194854_dvr.pdf,6147,4.463,1.003,1.064,,14.904,0,10799735,train,0
CANDIDATE,6.412512953,169.879804,2455002.88,0,0.553,5.2677,1156.4,0.0685,86.11,183.1,1,0.8515,008/008565/008565266/dv/kplr008565266-20160209194854_dvr.pdf,6026,4.366,1.108,1.038,,14.684,1,8565266,train,1
CANDIDATE,10.74241765,133.2867,2454966.287,0,0.034,6.0633,415.2,0.0965,89.86,95.4,3,0.9198,011/011512/011512246/dv/kplr011512246-20160209194854_dvr.pdf,5761,4.091,1.518,1.036,,13.438,1,11512246,train,1
CANDIDATE,169.4976085,228.99997,2455062.0,0,0.625,7.77,12192.0,0.5754,89.76,82.8,1,0.015,007/007811/007811397/dv/kplr007811397-20160209194854_dvr.pdf,5270,4.592,0.787,0.9,,15.917,1,7811397,train,1
CANDIDATE,11.95474513,178.721694,2455011.722,0,0.601,2.1433,903.4,0.1006,89.03,96.3,1,0.216,005/005786/005786676/dv/kplr005786676-20160209194854_dvr.pdf,5059,3.976,1.657,0.947,,13.594,1,5786676,train,1
CANDIDATE,25.69581456,188.78889,2455021.789,0,0.68,4.0251,1130.8,0.1348,88.97,45.1,1,0.5933,003/003966/003966801/dv/kplr003966801-20160209194854_dvr.pdf,3787,4.775,0.477,0.496,,14.885,1,3966801,train,1
CANDIDATE,1.96134311,132.30563,2454965.306,0,1.159,11.856,207.8,0.0353,12.47,59.5,1,0.233,004/004282/004282390/dv/kplr004282390-20160209194854_dvr.pdf,6221,3.935,2.198,1.516,,13.749,1,4282390,train,1
FALSE POSITIVE,6.840305932,137.5713643,2454970.571,0,1.094,4.32742,124930.0,0.0705,85.7,2025.7,1,0.5152,011/011198/011198723/dv/kplr011198723-20160209194854_dvr.pdf,5970,4.521,0.908,0.996,,15.445,0,11198723,train,0
CANDIDATE,35.5969684,187.52765,2455020.528,0,0.895,6.691,684.5,0.2178,87.51,52.5,1,0.4782,006/006291/006291837/dv/kplr006291837-20160209194854_dvr.pdf,6212,4.309,1.209,1.082,,12.351,1,6291837,train,1
FALSE POSITIVE,82.13761,196.1225133,2455029.123,0,1.221,6.11904,210770.0,0.3914,89.53,3583.1,1,0.0,003/003240/003240159/dv/kplr003240159-20160209194854_dvr.pdf,6395,3.904,2.012,1.183,,12.261,0,3240159,train,0
CANDIDATE,22.20809549,206.35965,2455039.36,0,0.017,7.3327,463.2,0.1699,89.96,92.7,2,0.8971,008/008121/008121310/dv/kplr008121310-20160209194854_dvr.pdf,6336,4.266,1.403,1.324,,12.885,1,8121310,train,1
FALSE POSITIVE,7.047106212,132.75015,2454965.75,0,1.077,3.16223,69626.0,0.0883,86.39,548.5,1,0.3484,003/003230/003230227/dv/kplr003230227-20160209194854_dvr.pdf,8162,3.973,2.321,1.845,,9.002,0,3230227,train,0
CANDIDATE,21.06075303,143.59983,2454976.6,0,0.176,5.2472,301.2,0.1463,89.67,54.4,1,0.2406,006/006803/006803202/dv/kplr006803202-20160209194854_dvr.pdf,5706,4.382,1.034,0.94,,13.182,1,6803202,train,1
CANDIDATE,30.8639476,162.88077,2454995.881,0,0.907,8.864,256.5,0.1978,85.76,63.0,1,0.44,008/008822/008822366/dv/kplr008822366-20160209194854_dvr.pdf,5977,4.08,1.571,1.081,,12.547,1,8822366,train,1
FALSE POSITIVE,18.52591745,144.1948764,2454977.195,0,0.415,5.9056,455660.0,0.1361,89.38,2246.9,1,-1.0,010/010992/010992733/dv/kplr010992733-20160209194854_dvr.pdf,5492,4.533,0.887,0.978,,15.124,0,10992733,train,0
CANDIDATE,67.5923754,151.75056,2454984.751,0,0.728,12.249,4158.1,0.3582,88.73,60.9,1,0.3897,009/009032/009032900/dv/kplr009032900-20160209194854_dvr.pdf,6038,4.082,1.744,1.341,,13.675,1,9032900,train,1
FALSE POSITIVE,25.95193721,154.881253,2454987.881,0,0.51,15.9897,399170.0,0.1778,88.5,915.3,1,-1.0,003/003858/003858884/dv/kplr003858884-20160209194854_dvr.pdf,6569,4.008,1.729,1.11,,9.277,0,3858884,train,0
CANDIDATE,3.522498429,121.1194228,2454954.119,0,0.631,3.19843,9145.7,0.0473,85.2,1741.5,1,0.6662,006/006922/006922244/dv/kplr006922244-20160209194854_dvr.pdf,6225,4.169,1.451,1.132,,13.563,1,6922244,train,1
FALSE POSITIVE,290.7778719,393.511387,2455226.511,0,0.761,12.0525,225770.0,0.7829,89.83,1836.8,1,0.0,006/006756/006756202/dv/kplr006756202-20160209194854_dvr.pdf,5207,4.585,0.734,0.756,,14.282,0,6756202,train,0
FALSE POSITIVE,2.179924994,132.1293516,2454965.129,0,0.711,4.87581,253150.0,0.0334,81.71,4541.1,1,0.0,008/008957/008957954/dv/kplr008957954-20160209194854_dvr.pdf,6106,4.487,0.966,1.043,,13.96,0,8957954,train,0
FALSE POSITIVE,15.53753378,140.2734399,2454973.273,0,0.425,5.8262,209010.0,0.1142,89.13,2807.8,1,-1.0,006/006841/006841577/dv/kplr006841577-20160209194854_dvr.pdf,5704,4.476,0.868,0.822,,14.875,0,6841577,train,0
FALSE POSITIVE,19.66840482,132.523858,2454965.524,0,0.0,21.1764,352810.0,0.1255,90.0,1834.5,1,-1.0,011/011235/011235323/dv/kplr011235323-20160209194854_dvr.pdf,5260,4.56,0.717,0.68,,13.486,0,11235323,train,0
CANDIDATE,96.6781852,140.18339,2454973.183,0,0.336,5.6957,951.3,0.3962,89.85,44.7,3,0.568,009/009941/009941859/dv/kplr009941859-20160209194854_dvr.pdf,5386,4.322,1.076,0.886,,14.598,1,9941859,train,1
CANDIDATE,14.91095177,141.336726,2454974.337,0,0.014,3.325,864.5,0.1159,89.98,116.9,1,0.0145,002/002444/002444412/dv/kplr002444412-20160209194854_dvr.pdf,5650,4.5,0.899,0.932,,12.593,1,2444412,train,1
CANDIDATE,4.601811819,169.98108,2455002.981,0,0.567,2.2607,755.9,0.0501,87.56,60.8,2,0.3969,007/007134/007134976/dv/kplr007134976-20160209194854_dvr.pdf,4986,4.496,0.833,0.793,,15.024,1,7134976,train,1
FALSE POSITIVE,2.19635512,133.515028,2454966.515,0,0.702,9.65516,266550.0,0.0319,75.02,2132.0,1,-1.0,007/007033/007033748/dv/kplr007033748-20160209194854_dvr.pdf,6438,4.182,1.273,0.899,,13.685,0,7033748,train,0
FALSE POSITIVE,18.64532882,147.207512,2454980.208,0,0.454,3.63893,433820.0,0.1345,89.59,1256.8,1,-1.0,007/007021/007021177/dv/kplr007021177-20160209194854_dvr.pdf,5931,4.554,0.845,0.933,,15.511,0,7021177,train,0
FALSE POSITIVE,28.78725751,137.094192,2454970.094,0,0.559,13.953,49618.0,0.2183,88.11,1292.0,1,0.0633,008/008143/008143170/dv/kplr008143170-20160209194854_dvr.pdf,5154,3.461,3.981,1.672,,12.85,0,8143170,train,0
FALSE POSITIVE,0.656201038,132.0994299,2454965.099,0,1.439,4.17901,174860.0,0.0152,53.45,2065.8,1,-1.0,005/005215/005215700/dv/kplr005215700-20160209194854_dvr.pdf,6025,4.472,0.999,1.08,,15.168,0,5215700,train,0
FALSE POSITIVE,2.630090609,132.224741,2454965.225,0,0.285,13.6817,516930.0,0.0357,83.86,1694.6,1,-1.0,012/012164/012164751/dv/kplr012164751-20160209194854_dvr.pdf,6315,4.292,1.108,0.875,,14.187,0,12164751,train,0
FALSE POSITIVE,34.18830271,132.1423013,2454965.142,0,0.957,3.01179,118440.0,0.199,89.46,2594.9,1,0.26,004/004912/004912589/dv/kplr004912589-20160209194854_dvr.pdf,5757,4.134,1.345,0.898,,12.869,0,4912589,train,0
FALSE POSITIVE,19.74161604,136.446922,2454969.447,0,1.04,3.07231,88822.0,0.1561,88.87,2153.0,1,0.517,006/006117/006117415/dv/kplr006117415-20160209194854_dvr.pdf,6535,4.183,1.529,1.301,,10.543,0,6117415,train,0
FALSE POSITIVE,4.804469712,136.0047256,2454969.005,0,0.567,3.51946,132620.0,0.0531,87.47,1177.8,1,0.0,004/004049/004049124/dv/kplr004049124-20160209194854_dvr.pdf,5561,4.558,0.809,0.864,,14.654,0,4049124,train,0
CANDIDATE,1.970340203,131.948389,2454964.948,0,0.859,1.7901,403.2,0.0303,79.56,56.3,2,0.8567,003/003338/003338885/dv/kplr003338885-20160209194854_dvr.pdf,4883,3.972,1.667,0.951,,14.438,1,3338885,train,1
FALSE POSITIVE,37.18327633,158.645758,2454991.646,0,0.003,14.0996,221200.0,0.2062,89.99,2648.4,1,0.0,008/008314/008314801/dv/kplr008314801-20160209194854_dvr.pdf,5657,4.23,1.168,0.846,,13.84,0,8314801,train,0
CANDIDATE,197.5111484,272.3864,2455105.386,0,0.814,11.106,2575.6,0.6711,89.49,175.2,3,0.8667,008/008022/008022489/dv/kplr008022489-20160209194854_dvr.pdf,5616,4.004,1.674,1.032,,13.349,1,8022489,train,1
CANDIDATE,6.714247798,134.31703,2454967.317,0,0.557,3.3304,32213.0,0.0634,87.98,145.9,1,0.7118,008/008323/008323764/dv/kplr008323764-20160209194854_dvr.pdf,5159,4.508,0.8,0.752,,17.376,1,8323764,train,1
CANDIDATE,4.164384505,171.087935,2455004.088,0,0.59,1.8464,2338.0,0.0411,87.73,132.1,2,0.2905,010/010489/010489206/dv/kplr010489206-20160209194854_dvr.pdf,3808,4.754,0.508,0.534,,14.752,1,10489206,train,1
CANDIDATE,56.4758069,143.81128,2454976.811,0,0.862,5.961,1091.8,0.2838,88.81,70.0,3,0.7502,010/010004/010004738/dv/kplr010004738-20160209194854_dvr.pdf,5497,4.57,0.839,0.952,,14.279,1,10004738,train,1
CANDIDATE,5.902596818,136.388994,2454969.389,0,0.168,5.5711,54894.0,0.0645,89.02,533.9,1,0.6683,011/011404/011404644/dv/kplr011404644-20160209194854_dvr.pdf,6184,4.371,1.094,1.022,,15.179,1,11404644,train,1
CANDIDATE,4.942783419,136.3294353,2454969.329,0,0.566,3.25346,11145.0,0.0569,87.04,2040.7,1,0.5408,011/011359/011359879/dv/kplr011359879-20160209194854_dvr.pdf,5514,4.459,0.978,1.003,,13.758,1,11359879,train,1
FALSE POSITIVE,18.77816216,149.6776416,2454982.678,0,0.357,8.1018,488410.0,0.1529,89.3,3788.7,1,-1.0,008/008711/008711548/dv/kplr008711548-20160209194854_dvr.pdf,6794,4.102,1.71,1.356,,13.944,0,8711548,train,0
FALSE POSITIVE,18.17304501,355.230984,2455188.231,0,0.674,10.9113,69911.0,0.1332,87.15,1820.5,1,0.0997,005/005876/005876805/dv/kplr005876805-20160209194854_dvr.pdf,5799,4.548,0.86,0.955,,15.927,0,5876805,train,0
FALSE POSITIVE,95.17831793,224.596785,2455057.597,0,0.761,3.60125,128580.0,0.352,89.82,2279.1,1,0.0007,011/011147/011147814/dv/kplr011147814-20160209194854_dvr.pdf,4523,4.615,0.653,0.641,,14.401,0,11147814,train,0
CANDIDATE,20.5498184,178.946396,2455011.946,0,0.649,5.5484,1564.3,0.1415,88.38,123.1,6,0.0991,011/011709/011709124/dv/kplr011709124-20160209194854_dvr.pdf,5688,4.415,0.971,0.895,,14.534,1,11709124,train,1
CANDIDATE,11.0234748,171.114662,2455004.115,0,0.724,1.4814,1795.5,0.0794,89.03,77.2,1,0.1846,010/010990/010990886/dv/kplr010990886-20160209194854_dvr.pdf,3744,4.718,0.537,0.551,,14.273,1,10990886,train,1
